0;2;82;51;True
0;3;65;45;False
0;4;36;29;False
0;5;52;44;False
0;6;56;46;False
0;7;37;25;False
0;8;41;28;False
0;9;79;61;True
1;2;91;73;True
1;3;31;35;False
1;4;17;23;False
1;5;18;21;False
1;6;30;25;False
1;7;24;19;False
1;8;22;19;False
1;9;24;15;False
2;2;82;51;False
2;3;91;72;False
2;4;90;69;False
2;5;15;17;False
2;6;15;21;False
2;7;21;15;False
2;8;16;18;False
2;9;29;17;False
3;2;91;73;False
3;3;21;24;False
3;4;25;20;False
3;5;26;24;False
3;6;23;21;False
3;7;29;27;False
3;8;30;28;False
3;9;28;27;False
